Authors,Title,Reject,Year,Source,Publisher,ArticleURL
"YS Tsai, R Martinez-Maldonado",Human-Centered Approaches to Data-Informed Feedback,0,2022,… of Learning Analytics,research.monash.edu,https://research.monash.edu/files/397933142/397932873.pdf
"CD Kloos, Y Dimitriadis, ...",H2O Learn-Hybrid and Human-Oriented Learning: Trustworthy and Human-Centered Learning Analytics (TaHCLA) for Hybrid Education,0,2022,2022 IEEE Global …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9766770/
"LC Castro, T Li, L Ciner, K Douglas, ...",Predicting learning outcome in a first-year engineering course: a human-centered learning analytics approach,0,2022,2022 ASEE Annual …,peer.asee.org,https://peer.asee.org/predicting-learning-outcome-in-a-first-year-engineering-course-a-human-centered-learning-analytics-approach
"B Heinemann, M Ehlenz, ...",Human-centered learning analytics in interdisciplinary projects: co-designing data collection,0,2022,Companion Proceedings of …,researchgate.net,https://www.researchgate.net/profile/Sanaz-Nazari/publication/360208122_Controlling_for_Speededness_in_PANCE_Examinees'_Responses_Using_Change-Point_Analysis/links/626842a98cb84a40ac8cc609/Controlling-for-Speededness-in-PANCE-Examinees-Responses-Using-Change-Point-Analysis.pdf#page=30
"B Lowel, G Buttler, P Zener",Human Intervention in Automated Decision-Making: Human-centered learning analytics,0,2022,,researchgate.net,https://www.researchgate.net/profile/Ashraf-Alam-2/publication/362266596_Human_Intervention_in_Automated_Decision-Making_Human-centered_learning_analytics/links/62e016b83c0ea878875c8aeb/Human-Intervention-in-Automated-Decision-Making-Human-centered-learning-analytics.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail
"JP Sarmiento, AF Wise",Participatory and Co-Design of Learning Analytics: An Initial Review of the Literature,0,2022,LAK22: 12th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506910
"J Quick, RC Itow",Situating Learning Analytics for Course Design in Online Secondary Contexts,0,2022,Learning Analytics in Open and Distributed Learning,Springer,https://link.springer.com/chapter/10.1007/978-981-19-0786-9_7
"SB Shum, A Littlejohn, K Kitto, ...",Framing Professional Learning Analytics as Reframing Oneself,0,2022,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9833360/
"S Uttamchandani, J Quick","An Introduction to fairness, absence of bias, and equity in learning analytics",0,2022,Handbook of Learning Analytics,solaresearch.org,https://solaresearch.org/wp-content/uploads/hla22/HLA22_Chapter_20_Uttamchandani.pdf
"O Viberg, L Engström, M Saqr, S Hrastinski",Exploring students' expectations of learning analytics: A person-centered approach,0,2022,Education and Information …,Springer,https://link.springer.com/article/10.1007/s10639-022-10980-2
"A Shibani, S Knight, S Buckingham Shum",Questioning learning analytics? Cultivating critical engagement as student automated feedback literacy,0,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/fullHtml/10.1145/3506860.3506912
C Campbell,Human-centered artificial intelligence in education: Factual open cloze question generation for assessment of learner's knowledge,0,2022,Computers and Education: Artificial Intelligence,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4060196
D Alzoubi,Unpacking instructors' use and sensemaking processes of feedback dashboards: A human-centered approach,0,2022,,,
O Viberg,Introduction to 'Machine Learning and Human Learning',0,2022,Learning with Technologies and Technologies in …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-04286-7_23
"N Nur, A Benedict, O Eltayeby, W Dou, ...",EXPLAINABLE AI FOR DATA DRIVEN LEARNING ANALYTICS: A HOLISTIC APPROACH TO ENGAGE ADVISORS IN KNOWLEDGE DISCOVERY,0,2022,EDULEARN22 …,library.iated.org,https://library.iated.org/view/NUR2022EXP
"I Jivet, O Viberg, M Scheffel",Culturally Aware Learning Analytics,0,2022,Companion Proceedings of the 12th,researchgate.net,https://www.researchgate.net/profile/Sanaz-Nazari/publication/360208122_Controlling_for_Speededness_in_PANCE_Examinees'_Responses_Using_Change-Point_Analysis/links/626842a98cb84a40ac8cc609/Controlling-for-Speededness-in-PANCE-Examinees-Responses-Using-Change-Point-Analysis.pdf#page=197
D AlZoubi,From Data to Actions: Unfolding Instructors' Sense making and Reflective Practice with Classroom Analytics,0,2022,Companion Proceedings of the 12th,researchgate.net,https://www.researchgate.net/profile/Sanaz-Nazari/publication/360208122_Controlling_for_Speededness_in_PANCE_Examinees'_Responses_Using_Change-Point_Analysis/links/626842a98cb84a40ac8cc609/Controlling-for-Speededness-in-PANCE-Examinees-Responses-Using-Change-Point-Analysis.pdf#page=145
"A Muslim, MA Chatti, U Schroeder",Supporting Indicator Personalization and Platform Extensibility in Open Learning Analytics,0,2022,"Technology, Knowledge and Learning",Springer,https://link.springer.com/article/10.1007/s10758-021-09543-0
"M Sadallah, JM Gilliot, S Iksal, K Quelennec, ...",Designing LADs That Promote Sensemaking: A Participatory Tool,0,2022,European Conference …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-16290-9_54
"X Duan, C Wang, G Rouamba",Designing a Learning Analytics Dashboard to Provide Students with Actionable Feedback and Evaluating Its Impacts.,0,2022,CSEDU (2),nd.edu,https://www3.nd.edu/~cwang11/research/csedu22-lad.pdf
"KP Thai, SD Craig, J Goodell, J Lis, ...",Learning Engineering is Human-Centered,0,2022,Learning …,api.taylorfrancis.com,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003276579-7&type=chapterpdf
"V Echeverria, M Wong-Villacres, X Ochoa, ...",An Exploratory Evaluation of a Collaboration Feedback Report,0,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506890
"R Jayashanka, E Hettiarachchi, ...",Technology Enhanced Learning Analytics Dashboard in Higher Education,0,2022,… Journal of e …,academic-publishing.org,https://www.academic-publishing.org/index.php/ejel/article/view/2189
"M Guesmi, MA Chatti, A Tayyar, QU Ain, ...",Interactive Visualizations of Transparent User Models for Self-Actualization: A Human-Centered Design Approach,0,2022,Multimodal Technologies …,mdpi.com,https://www.mdpi.com/2414-4088/6/6/42
"P Topali, A Ortesa-Arranz, IA Chounta, ...",Supporting instructors in the design of actionable feedback for MOOCs,0,2022,2022 IEEE Global …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9766546/
"R Martinez-Maldonado, D Elliott, C Axisa, ...",Designing translucent learning analytics with teachers: An elicitation process,0,2022,Interactive Learning …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10494820.2019.1710541
S Oviatt,"Multimodal Interaction, Interfaces, and Analytics",0,2022,Handbook of Human Computer Interaction,Springer,https://link.springer.com/content/pdf/10.1007/978-3-319-27648-9_22-1.pdf
"C Hoffmann, N Mandran, C d'Ham, S Rebaudo, ...",Development of Actionable Insights for Regulating Students' Collaborative Writing of Scientific Texts,0,2022,European Conference …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-16290-9_47
"BR Barricelli, G Fischer, D Fogli, A Morch, ...",CoPDA 2022-Cultures of Participation in the Digital Age: AI for Humans or Humans for AI?,0,2022,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3531073.3535262
"Q Li, Y Jung, B d'Anjou, AF Wise",Unpacking Instructors' Analytics Use: Two Distinct Profiles for Informing Teaching,0,2022,… : 12th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506905
"YS Tsai, S Singh, M Rakovic, LA Lim, ...",Charting Design Needs and Strategic Approaches for Academic Analytics Systems through Co-Design,0,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506939
"Q Wang, I Camacho, AK Goel",Investigating the Potential of AI-Based Social Matching Systems to Facilitate Social Interaction Among Online Learners,0,2022,Social and Emotional Learning and …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-06333-6_13
"T Wagner, M Diederich",Scalable Personalization for Student Success: A Framework for Using Machine Learning Methods in Self-Directed Online Courses,0,2022,… Data Science and Learning Analytics …,igi-global.com,https://www.igi-global.com/chapter/scalable-personalization-for-student-success/301857
"A Ahmad, J Schneider, D Griffiths, ...",Connecting the dots–A literature review on learning analytics indicators from a learning design perspective,0,2022,Journal of Computer …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12716
"I Amarasinghe, A van Leeuwen, Y Dimitriadis, ...",Teacher Orchestration Load: What Is It and How Can We Lower the Burden?,0,2022,,repository.isls.org,https://repository.isls.org/handle/1/7665
"B Hicks, K Kitto, L Payne, ...",Thinking with causal models: A visual formalism for collaboratively crafting assumptions,0,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506899
"I Amarasinghe, D Hernández Leo, ...",Teacher-led debriefing in computer-supported collaborative learning pyramid scripts,0,2022,… (CSCL) 2022; 2022 …,repositori.upf.edu,https://repositori.upf.edu/handle/10230/53944
"S Praharaj, M Scheffel, M Schmitz, M Specht, ...",Towards Collaborative Convergence: Quantifying Collaboration Quality with Automated Co-located Collaboration Analytics,0,2022,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506922
A Lewis,Multimodal large language models for inclusive collaboration learning tasks,0,2022,Proceedings of the 2022 Conference of the North …,aclanthology.org,https://aclanthology.org/2022.naacl-srw.26/
"Y Li, M Zhang, Y Su, H Bao, S Xing",Examining teachers' behavior patterns in and perceptions of using teacher dashboards for facilitating guidance in CSCL,0,2022,Educational technology research and …,Springer,https://link.springer.com/article/10.1007/s11423-022-10102-2
"S Karumbaiah, R Baker, Y Tao, Z Liu",How does Students' Affect in Virtual Learning Relate to Their Outcomes? A Systematic Review Challenging the Positive-Negative Dichotomy,0,2022,… International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3506860.3506863
"K Holstein, V Aleven",Designing for human–AI complementarity in K‐12 education,0,2022,AI Magazine,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/aaai.12058
"A Lewis, J Stoyanovich",Teaching responsible data science: Charting new pedagogical territory,0,2022,International Journal of Artificial Intelligence in …,Springer,https://link.springer.com/article/10.1007/s40593-021-00241-7
"M Schmidt, R Huang",Defining learning experience design: Voices from the field of learning design & technology,0,2022,TechTrends,Springer,https://link.springer.com/article/10.1007/s11528-021-00656-y
"V Barzola, E Alvarado, C Loja, A Velez, I Silva, ...",Analyzing Speech Data to Detect Work Environment in Group Activities,0,2022,… Conference on Artificial …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-11647-6_69
"Q Wang, S Jing, AK Goel","Co-Designing AI Agents to Support Social Connectedness Among Online Learners: Functionalities, Social Characteristics, and Ethical Challenges",0,2022,Designing Interactive Systems Conference,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3532106.3533534
"Y Ge, S Liu, Z Fu, J Tan, Z Li, S Xu, Y Li, Y Xian, ...",A survey on trustworthy recommender systems,0,2022,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2207.12515
"R Nicholson, T Bartindale, A Kharrufa, D Kirk, ...",Participatory Design Goes to School: Co-Teaching as a Form of Co-Design for Educational Technology,0,2022,CHI Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3491102.3517667
"B Keller, M Lünich, F Marcinkowski",How Is Socially Responsible Academic Performance Prediction Possible?: Insights From a Concept of Perceived AI Fairness,0,2022,… and Governance for AI in Higher …,igi-global.com,https://www.igi-global.com/chapter/how-is-socially-responsible-academic-performance-prediction-possible/304104
"SY Hsu, MS Tutwiler",How Much and for Whom? A Multi-Wave Study of the Impact of Self-Regulated Learning Scaffolds on MOOC Student Academic Performance,0,2022,Proceedings of the Ninth ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3491140.3528312
"M Heinz-Jakobs, H Oestreich, S Wrede, ...",User Expectations Regarding Design Dimensions of Adapative Assistance Systems,0,2022,… on Human System …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9869509/
"M Marras, L Boratto, G Ramos, G Fenu",Equality of learning opportunity via individual fairness in personalized recommendations,0,2022,International Journal of Artificial …,Springer,https://link.springer.com/article/10.1007/s40593-021-00271-1
"LT Liu, S Wang, T Britton, R Abebe",Lost in Translation: Reimagining the Machine Learning Life Cycle in Education,0,2022,arXiv preprint arXiv:2209.03929,arxiv.org,https://arxiv.org/abs/2209.03929
"A van Leeuwen, N Rummel",The function of teacher dashboards depends on the amount of time pressure in the classroom situation: Results from teacher interviews and an experimental …,0,2022,Unterrichtswissenschaft,Springer,https://link.springer.com/article/10.1007/s42010-022-00156-9
"X Qu, TJ Hickey",EEG4Home: A Human-In-The-Loop Machine Learning Model for EEG-Based BCI,0,2022,International Conference on Human-Computer …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-05457-0_14
SE Shaikh,Interactive and revisable decision-support: doing more harm than good?,0,2022,Behaviour & Information Technology,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/0144929X.2020.1837242
"Y Dimitriadis, R Martínez-Maldonado, ...",Human-centered design principles for actionable learning analytics,0,2021,… on E-Learning and ICT in …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-64363-8_15
"TF Revano, MB Garcia",Designing Human-Centered Learning Analytics Dashboard for Higher Education Using a Participatory Design Approach,0,2021,2021 IEEE 13th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9731917/
"D AlZoubi, J Kelley, E Baran, SB Gilbert, ...",Designing the TEACHActive Feedback Dashboard: A Human Centered Approach,0,2021,… on Learning Analytics …,par.nsf.gov,https://par.nsf.gov/servlets/purl/10286621
"J Ahn, F Campos, H Nguyen, M Hays, ...","Co-designing for privacy, transparency, and trust in K-12 learning analytics",0,2021,… learning analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448145
"P Sharma, M Akgun, Q Li",Learning Analytics to Support Student Interaction and Learning Design: Initial Report on a Human-Centered Prototype Design,0,2021,Learning Technologies and User …,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003089704-4/learning-analytics-support-student-interaction-learning-design-priya-sharma-mahir-akgun-qiyuan-li
"X Ochoa, AF Wise",Supporting the shift to digital with student-centered learning analytics,0,2021,Educational Technology Research and Development,Springer,https://link.springer.com/article/10.1007/s11423-020-09882-2
"SJH Yang, H Ogata, T Matsui, NS Chen",Human-centered artificial intelligence in education: Seeing the invisible through the visible,0,2021,Computers and Education …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666920X21000023
"K El Aadmi-Laamech, Y Dimitriadis, P Santos, ...",Workshop on human-centred learning analytics: A critical analysis based on the discussion of two case studies,0,2021,,ceur-ws.org,http://ceur-ws.org/Vol-3029/paper08.pdf
"E Baran, D AlZoubi, J Kelley, S Jiang, S Gilbert, ...",Designing the TEACHActive Feedback Dashboard: A Human Centered Approach,0,2021,,,
"M Chantal, JD Twizeyimana, O Viberg",Students' information privacy concerns in learning analytics: Towards model development,0,2021,… Nordic Learning Analytics …,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1660400
"S Svetsky, O Moravcik",Human-centered software design for knowledge-based processes,0,2021,2021 International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9698483/
"A Renz, G Vladova",Reinvigorating the Discourse on Human-Centered Artificial Intelligence in Educational Technologies,0,2021,Technology Innovation Management Review,timreview.ca,https://timreview.ca/article/1438
"D Amo, M Alier, R Sansaloni, J Geli, ...","Learning Analytics Icons for analytics' transparency, information, and easy comprehension of data treatment of students",0,2021,Ninth International …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3486011.3486520
"A Raza, WR Penuel, AR Allen, T Sumner, ...",“Making it Culturally Relevant”: A Visual Learning Analytics System Supporting Teachers to Reflect on Classroom Equity,0,2021,Proceedings of the …,repository.isls.org,https://repository.isls.org/handle/1/7501
"G Gray, A Schalk, P Rooney, C Lang",A stakeholder informed professional development framework to support engagement with learning analytics,0,2021,… international learning analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448162
"K Williamson, RF Kizilcec","Learning Analytics Dashboard Research Has Neglected Diversity, Equity and Inclusion",0,2021,Proceedings of the Eighth ACM Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3430895.3460160
"AC Weigand, MC Kindsmüller",HCD3A: An HCD Model to Design Data-Driven Apps,0,2021,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77772-2_19
"SD Teasley, M Kay, S Elkins, J Hammond",User-Centered Design for a Student-Facing Dashboard Grounded in Learning Theory,0,2021,… for Learning Analytics,Springer,https://link.springer.com/chapter/10.1007/978-3-030-81222-5_9
"RA Dourado, RL Rodrigues, N Ferreira, ...",A teacher-facing learning analytics dashboard for process-oriented feedback in online learning,0,2021,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448187
"F Ouyang, X Li, P Jiao, X Peng, ...",The Three-Iterative Design and Implementation of a Student-Facing Social Learning Analytics Tool,0,2021,International Journal of …,igi-global.com,https://www.igi-global.com/article/the-three-iterative-design-and-implementation-of-a-student-facing-social-learning-analytics-tool/286738
"Y Dankov, A Antonova, B Bontchev",Adopting User-Centered Design to Identify Assessment Metrics for Adaptive Video Games for Education,0,2021,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-85540-6_37
"JA Ruipérez-Valiente, MJ Gomez, PA Martínez, ...",Ideating and Developing a Visualization Dashboard to Support Teachers Using Educational Games in the Classroom,0,2021,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9446995/
"K Holstein, V Aleven",Designing for human-AI complementarity in K-12 education,0,2021,arXiv preprint arXiv:2104.01266,arxiv.org,https://arxiv.org/abs/2104.01266
"P Chew, Y Lin, VN Bermudez, ...","Understanding goals, pedagogical frameworks, and relationships in community-based participatory design",0,2021,Proceedings of the …,repository.isls.org,https://repository.isls.org/handle/1/7519
"N Gillani, R Eynon, C Chiabaut, ...",Unpacking the'Black Box'of AI in Education,0,2021,… the “Black Box” of AI in …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3945708
"F Ouyang, P Jiao",Artificial intelligence in education: The three paradigms,0,2021,Computers and Education: Artificial Intelligence,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666920X2100014X
"D Baneres, AE Guerrero-Roldán, ...",A predictive analytics infrastructure to support a trustworthy early warning system,0,2021,Applied Sciences,mdpi.com,https://www.mdpi.com/1159130
"M Schmidt, R Huang",Current and Evolving Views of Learner Experience from the Field of Learning Design and Technology,0,2021,"Learning: Design, Engagement and Definition",Springer,https://link.springer.com/chapter/10.1007/978-3-030-85078-4_9
"S Bulathwela, M Pérez-Ortiz, C Holloway, ...",Could AI Democratise Education? Socio-Technical Imaginaries of an EdTech Revolution,0,2021,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2112.02034
"F Li, Z Wang, J Tzi Dong Ng, X Hu",Studying with Learners' Own Music: Preliminary Findings on Concentration and Task Load,0,2021,… 11th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448206
"S Lallé, ÖN Yalçın, C Conati",Combining Data-Driven Models and Expert Knowledge for Personalized Support to Foster Computational Thinking Skills,0,2021,… : 11th International Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448175
"PA Cinquin, P Guitton, H Sauzéon",Toward truly accessible MOOCs for persons with cognitive impairments: a field study,0,2021,Human–Computer Interaction,Taylor & Francis,https://www.tandfonline.com/doi/full/10.1080/07370024.2021.2008250
"M Iqbal, K Shilton, MF Sayed, D Oard, ...",Search with discretion: value sensitive design of training data for information retrieval,0,2021,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3449207
"A Liaqat, C Munteanu, C Demmans Epp",Collaborating with mature English language learners to combine peer and automated feedback: A user-centered approach to designing writing support,0,2021,International Journal of Artificial …,Springer,https://link.springer.com/article/10.1007/s40593-020-00204-4
"KJ Sheehan, MK Rothschild, SJ Buchan",The Role of Participatory Codesign in a Learning Engineering Framework to Support Classroom Implementation of an Adaptive Instructional System,0,2021,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77857-6_19
"AH Duin, I Pedersen",Algorithmic Writing Futures,0,2021,"Writing Futures: Collaborative, Algorithmic …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-70928-0_3
D Verständig,Critical Data Studies and Data Science in Higher Education: An interdisciplinary and explorative approach towards a critical data literacy,0,2021,Seminar. net,journals.oslomet.no,https://journals.oslomet.no/index.php/seminar/article/view/4397
"HK Ro, F Fernandez, EJ Ramon","Gender Equity in STEM in Higher Education: International Perspectives on Policy, Institutional Culture, and Individual Choice (Edition 1)",0,2021,,library.oapen.org,https://library.oapen.org/handle/20.500.12657/50122
"MA Chatti, A Muslim, M Guesmi, F Richtscheid, ...",How to design effective learning analytics indicators? A human-centered design approach,0,2020,European conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-57717-9_22
"MA Chatti, A Muslim, M Guliani, M Guesmi",The LAVA model: Learning analytics meets visual analytics,0,2020,Adoption of data analytics in …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-47392-1_5
"JP Sarmiento, F Campos, A Wise",Engaging students as co-designers of learning analytics,0,2020,… international learning analytics …,researchgate.net,https://www.researchgate.net/profile/Fabio-Campos-15/publication/341030912_Engaging_Students_as_Co-Designers_of_Learning_Analytics/links/5eaa0c77a6fdcc70509afbb9/Engaging-Students-as-Co-Designers-of-Learning-Analytics.pdf
"R Conijn, LV Waes, M Zaanen",Human-centered design of a dashboard on students' revisions during writing,0,2020,European Conference on Technology …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-57717-9_3
Y Dimitriadis,Aligning Learning Design and Learning Analytics: Towards a Human-centered Design of Actionable Learning Analytics.,0,2020,CSEDU (1),pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/846a/1a7490cb382c7d86db23b1edac4a288fd980.pdf
"K Michos, C Lang, D Hernández-Leo, ...",Involving teachers in learning analytics design: Lessons learned from two case studies,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375507
"R Martinez-Maldonado, V Echeverria, ...",From data to insights: A layered storytelling approach for multimodal learning analytics,0,2020,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3313831.3376148
"A Raza, WR Penuel, J Jacobs, ...",Supporting equity in schools: Using visual learning analytics to understand learners' classroom experiences,0,2020,Learner and user …,edtechbooks.org,https://edtechbooks.org/ux/supporting_school_equity?book_nav=true
"S Moore, J Stamper, N Bier, MJ Blink",A human-centered approach to data driven iterative course improvement,0,2020,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-52575-0_61
"K Verbert, X Ochoa, R De Croon, RA Dourado, ...","Learning analytics dashboards: The past, the present and the future",0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375504
"A Renz, S Krishnaraja","Toward Responsible, Human-Centered AI in EdTech",0,2020,ISPIM …,publications.informatik.hu-berlin.de,https://publications.informatik.hu-berlin.de/archive/cses/publications/TowardResponsibleHuman-CenteredAIinEdTech.pdf
"H Traifeh, T Staubitz, C Meinel",Towards More Human-Centered openHPI Collab Spaces,0,2020,Design thinking research,Springer,https://link.springer.com/chapter/10.1007/978-3-030-28960-7_16
"CP Alvarez, R Martinez-Maldonado, ...",LA-DECK: A card-based learning analytics co-design tool,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375476
"YS Tsai, A Whitelock-Wainwright, ...",The privacy paradox and its implications for learning analytics,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375536
"R Conijn, R Martinez-Maldonado, S Knight, ...",How to provide automated feedback on the writing process? A participatory approach to design writing analytics tools,0,2020,Computer Assisted …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/09588221.2020.1839503
"J Goodell, KPKP Thai",A learning engineering model for learner-centered adaptive systems,0,2020,International Conference on Human-Computer …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-60128-7_41
"R Prestigiacomo, R Hadgraft, J Hunter, ...",Learning-centred translucence: An approach to understand how teachers talk about classroom data,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375475
M Ez-Zaouia,Teacher-centered dashboards design process,0,2020,… Workshop on eXplainable Learning Analytics …,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-02516815/
"H Shen, L Liang, N Law, E Hemberg, ...",Understanding learner behavior through learning design informed learning analytics,0,2020,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3386527.3405919
R Pelánek,"Learning analytics challenges: trade-offs, methodology, scalability",0,2020,… the tenth international conference on learning analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375463
"T De Laet, M Millecamp, T Broos, ...",Explainable Learning Analytics: challenges and opportunities,0,2020,… Learning Analytics & …,lirias.kuleuven.be,https://lirias.kuleuven.be/retrieve/606665
"B Astudillo, M Santórum, J Aguilar",A Methodology for Data Analytics Based on Organizational Characterization Through a User-Centered Design: A Systematic Literature Review,0,2020,International Conference on Applied …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-51828-8_20
"I Molenaar, A Horvers, R Dijkstra, ...",Personalized visualizations to promote young learners' SRL: the learning path app,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375465
"F Harrak, F Bouchet, V Luengo, P Gillois",Evaluating teachers' perceptions of students' questions organization,0,2020,… on Learning Analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375509
"FS Kia, SD Teasley, M Hatala, SA Karabenick, ...",How patterns of students dashboard use are related to their achievement and self-regulatory engagement,0,2020,… on learning analytics & …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3375462.3375472
"M Schmidt, Y Earnshaw, AA Tawfik, ...",Methods of user centered design and evaluation for learning designers,0,2020,Learner and user …,edtechbooks.org,https://edtechbooks.org/ux/ucd_methods_for_lx?book_nav=true
"Q Wang, S Jing, D Joyner, L Wilcox, H Li, ...",Sensing Affect to Empower Students: Learner Perspectives on Affect-Sensitive Technology in Large Educational Contexts,0,2020,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3386527.3405917
"EZ Victorelli, JC Dos Reis, H Hornung, ...",Understanding human-data interaction: Literature review and recommendations for design,0,2020,International Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1071581919301193
"MA Chatti, A Muslim",The PERLA framework: Blending personalization and learning analytics,0,2019,International review of research in open and …,erudit.org,https://www.erudit.org/en/journals/irrodl/1900-v1-n1-irrodl04436/1057982ar/abstract/
"M Ortiz-Rojas, R Maya, A Jimenez, ...",A step by step methodology for software design of a learning analytics tool in Latin America: A case study in Ecuador,0,2019,2019 XIV Latin …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8994992/
"S Buckingham Shum, R Ferguson, ...",Human-centred learning analytics,0,2019,… of Learning Analytics,oro.open.ac.uk,http://oro.open.ac.uk/62742/
"B Chen, H Zhu",Towards value-sensitive learning analytics design,0,2019,… the 9th international conference on learning analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3303772.3303798
"AD Cahyani, L Marshall, M Forshaw",Students' Perception on Data Sources from Outside Virtual Learning Environment for Learning Analytics,0,2019,Proceedings of the 2019 11th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3369255.3369288
